cvastrophoto version 0.1.0 [linux2], Log version 2.5. Log enabled at 2020-10-24 07:56:16


Controller Begins at 2020-10-24 07:56:18
Equipment Profile = default
Mount = N/A, Pier side = N/A
RA Minimum pulse = 50 ms
DEC Minimum pulse = 100 ms
RA Backlash comp, RA pulse = 50 ms, DEC pulse 50 ms
Time,mount,RADuration,RADirection,DECDuration,DECDirection,RADuty,DECDuty,RADriftSpeed,DECDriftSpeed,RAGearstate,DECGearState
1363.202115058899,Mount,500,E,0,,-4500,0,0,0,0,0
1363.7042520046234,Mount,350,E,0,,-4150,0,0,0,0,0
1364.055272102356,Mount,350,E,0,,-3800,0,0,0,0,0
1364.4062130451202,Mount,350,E,0,,-3450,0,0,0,0,0
1364.7571589946747,Mount,350,E,0,,-3100,0,0,0,0,0
1365.1080100536346,Mount,350,E,0,,-2750,0,0,0,0,0
1365.4587950706482,Mount,350,E,0,,-2400,0,0,0,0,0
1365.8098261356354,Mount,350,E,0,,-2050,0,0,0,0,0
1366.1607599258423,Mount,350,E,0,,-1699,0,0,0,0,0
1366.512001991272,Mount,350,E,0,,-1349,0,0,0,0,0
1366.8629169464111,Mount,350,E,0,,-999,0,0,0,0,0
1367.2135429382324,Mount,350,E,0,,-649,0,0,0,0,0
1367.564082145691,Mount,350,E,0,,-299,0,0,0,0,0
1367.9149129390717,Mount,299,E,0,,0,0,0,0,0,0
1368.2316539287567,Mount,350,W,0,,4649,0,0,0,0,0
1368.5865669250488,Mount,350,W,0,,4299,0,0,0,0,0
1368.938966035843,Mount,350,W,0,,3949,0,0,0,0,0
1369.2905850410461,Mount,350,W,0,,3599,0,0,0,0,0
1369.641520023346,Mount,350,W,0,,3249,0,0,0,0,0
1369.9924340248108,Mount,350,W,0,,2899,0,0,0,0,0
1370.3432590961456,Mount,350,W,0,,2549,0,0,0,0,0
1370.6943020820618,Mount,350,W,0,,2199,0,0,0,0,0
1371.0451641082764,Mount,350,W,0,,1849,0,0,0,0,0
1371.3959460258484,Mount,350,W,0,,1499,0,0,0,0,0
1371.746787071228,Mount,350,W,0,,1149,0,0,0,0,0
1372.0976121425629,Mount,350,W,0,,799,0,0,0,0,0
1372.4483959674835,Mount,350,W,0,,449,0,0,0,0,0
1372.7992839813232,Mount,350,W,0,,99,0,0,0,0,0
1373.1498799324036,Mount,99,W,0,,0,0,0,0,0,0
1375.8144369125366,Mount,322,W,0,,0,0,0,0,0,0
1381.7457699775696,Mount,322,W,0,,0,0,0,0,0,0
1383.654464006424,Mount,322,W,0,,0,0,0,0,0,0
1386.9354629516602,Mount,323,W,0,,0,0,0,0,0,0
1388.9446120262146,Mount,322,W,0,,0,0,0,0,0,0
1392.2099149227142,Mount,322,W,0,,0,0,0,0,0,0
1394.269863128662,Mount,323,W,0,,0,0,0,0,0,0
1397.6660869121552,Mount,322,W,0,,0,0,0,0,0,0
1399.5796120166779,Mount,322,W,0,,0,0,0,0,0,0
1402.8292880058289,Mount,322,W,0,,0,0,0,0,0,0
1403.5678689479828,Mount,489,E,0,,-2732,0,0,0,0,0
1404.0587780475616,Mount,342,E,0,,-2390,0,0,0,0,0
1404.403424024582,Mount,342,E,0,,-2048,0,0,0,0,0
1404.756432056427,Mount,342,E,0,,-1706,0,0,0,0,0
1405.1005589962006,Mount,342,E,0,,-1364,0,0,0,0,0
1405.4484469890594,Mount,342,E,0,,-1022,0,0,0,0,0
1405.7939159870148,Mount,342,E,0,,-680,0,0,0,0,0
1406.1380550861359,Mount,342,E,0,,-338,0,0,0,0,0
1406.4829840660095,Mount,338,E,0,,0,0,0,0,0,0
1411.8934659957886,Mount,342,E,0,,-4659,0,0,0,0,0
1412.237107038498,Mount,342,E,0,,-4317,0,0,0,0,0
1412.5810170173645,Mount,342,E,0,,-3975,0,0,0,0,0
1412.9278230667114,Mount,342,E,0,,-3633,0,0,0,0,0
1413.2752439975739,Mount,342,E,0,,-3291,0,0,0,0,0
1413.6192679405212,Mount,342,E,0,,-2949,0,0,0,0,0
1413.9671740531921,Mount,342,E,0,,-2606,0,0,0,0,0
1414.3123819828033,Mount,342,E,0,,-2264,0,0,0,0,0
1414.656419992447,Mount,342,E,0,,-1922,0,0,0,0,0
1415.0014669895172,Mount,342,E,0,,-1580,0,0,0,0,0
1415.3457939624786,Mount,342,E,0,,-1238,0,0,0,0,0
1415.6897659301758,Mount,342,E,0,,-896,0,0,0,0,0
1416.0347769260406,Mount,342,E,0,,-554,0,0,0,0,0
1416.3792099952698,Mount,342,E,0,,-212,0,0,0,0,0
1416.7231800556183,Mount,212,E,0,,0,0,0,0,0,0
1416.9687299728394,Mount,342,W,0,,4657,0,0,0,0,0
1417.3133370876312,Mount,342,W,0,,4315,0,0,0,0,0
1417.6576170921326,Mount,342,W,0,,3973,0,0,0,0,0
1418.0027170181274,Mount,342,W,0,,3631,0,0,0,0,0
1418.3466520309448,Mount,342,W,0,,3289,0,0,0,0,0
1418.6905541419983,Mount,342,W,0,,2947,0,0,0,0,0
1419.0345511436462,Mount,342,W,0,,2605,0,0,0,0,0
1419.3784019947052,Mount,342,W,0,,2263,0,0,0,0,0
1419.7223060131073,Mount,342,W,0,,1921,0,0,0,0,0
1420.0662660598755,Mount,342,W,0,,1579,0,0,0,0,0
1420.4100539684296,Mount,342,W,0,,1237,0,0,0,0,0
1420.7540011405945,Mount,342,W,0,,895,0,0,0,0,0
1421.0979399681091,Mount,342,W,0,,553,0,0,0,0,0
1421.4416229724884,Mount,342,W,0,,211,0,0,0,0,0
1421.785138130188,Mount,211,W,0,,0,0,0,0,0,0
1424.734559059143,Mount,342,W,0,,916,0,0,0,0,0
1425.0797290802002,Mount,342,W,0,,574,0,0,0,0,0
1425.4237670898438,Mount,342,W,0,,232,0,0,0,0,0
1425.7682230472565,Mount,232,W,0,,0,0,0,0,0,0
1430.5225639343262,Mount,342,W,0,,916,0,0,0,0,0
1430.8662950992584,Mount,342,W,0,,574,0,0,0,0,0
1431.2099680900574,Mount,342,W,0,,232,0,0,0,0,0
1431.5535130500793,Mount,232,W,0,,0,0,0,0,0,0
1433.0397081375122,Mount,342,W,0,,916,0,0,0,0,0
1433.3839480876923,Mount,342,W,0,,574,0,0,0,0,0
1433.727467060089,Mount,342,W,0,,232,0,0,0,0,0
1434.0713939666748,Mount,232,W,0,,0,0,0,0,0,0
1436.9308910369873,Mount,342,W,0,,916,0,0,0,0,0
1437.2751541137695,Mount,342,W,0,,574,0,0,0,0,0
1437.6194989681244,Mount,342,W,0,,232,0,0,0,0,0
1437.9631080627441,Mount,232,W,0,,0,0,0,0,0,0
1439.4922161102295,Mount,342,W,0,,917,0,0,0,0,0
1439.8361189365387,Mount,342,W,0,,575,0,0,0,0,0
1440.179960012436,Mount,342,W,0,,233,0,0,0,0,0
1440.523694038391,Mount,233,W,0,,0,0,0,0,0,0
1443.4268651008606,Mount,342,W,0,,916,0,0,0,0,0
1443.7734899520874,Mount,342,W,0,,574,0,0,0,0,0
1444.1185231208801,Mount,342,W,0,,232,0,0,0,0,0
1444.4625890254974,Mount,232,W,0,,0,0,0,0,0,0
1446.0041761398315,Mount,342,W,0,,916,0,0,0,0,0
1446.3497970104218,Mount,342,W,0,,574,0,0,0,0,0
1446.6956400871277,Mount,342,W,0,,232,0,0,0,0,0
1447.039402961731,Mount,232,W,0,,0,0,0,0,0,0
1450.0200641155243,Mount,342,W,0,,916,0,0,0,0,0
1450.3653140068054,Mount,342,W,0,,574,0,0,0,0,0
1450.7090311050415,Mount,342,W,0,,232,0,0,0,0,0
1451.0525479316711,Mount,232,W,0,,0,0,0,0,0,0
1452.585457086563,Mount,342,W,0,,917,0,0,0,0,0
1452.9296460151672,Mount,342,W,0,,575,0,0,0,0,0
1453.273391008377,Mount,342,W,0,,233,0,0,0,0,0
1453.6172170639038,Mount,233,W,0,,0,0,0,0,0,0
1456.4682450294495,Mount,342,W,0,,916,0,0,0,0,0
1456.812556028366,Mount,342,W,0,,574,0,0,0,0,0
1457.15842795372,Mount,342,W,0,,232,0,0,0,0,0
1457.501981973648,Mount,232,W,0,,0,0,0,0,0,0
1457.7384281158447,Mount,342,E,0,,-12240,0,0,0,0,0
1458.0828731060028,Mount,342,E,0,,-11898,0,0,0,0,0
1458.427789926529,Mount,342,E,0,,-11556,0,0,0,0,0
1458.7723770141602,Mount,342,E,0,,-11213,0,0,0,0,0
1459.1175520420074,Mount,342,E,0,,-10871,0,0,0,0,0
1459.462737083435,Mount,342,E,0,,-10529,0,0,0,0,0
1459.8078210353851,Mount,342,E,0,,-10187,0,0,0,0,0
1460.152466058731,Mount,342,E,0,,-9845,0,0,0,0,0
1460.4974210262299,Mount,342,E,0,,-9503,0,0,0,0,0
1460.8421521186829,Mount,342,E,0,,-9161,0,0,0,0,0
1461.1867320537567,Mount,342,E,0,,-8819,0,0,0,0,0
1461.5318970680237,Mount,342,E,0,,-8477,0,0,0,0,0
1461.8758499622345,Mount,342,E,0,,-8135,0,0,0,0,0
1462.2197830677032,Mount,342,E,0,,-7793,0,0,0,0,0
1462.563730955124,Mount,342,E,0,,-7451,0,0,0,0,0
1462.907623052597,Mount,342,E,0,,-7109,0,0,0,0,0
1463.2515530586243,Mount,342,E,0,,-6767,0,0,0,0,0
1463.5954689979553,Mount,342,E,0,,-6425,0,0,0,0,0
1463.9393799304962,Mount,342,E,0,,-6083,0,0,0,0,0
1464.2833271026611,Mount,342,E,0,,-5741,0,0,0,0,0
1464.6272540092468,Mount,342,E,0,,-5399,0,0,0,0,0
1464.9712359905243,Mount,342,E,0,,-5057,0,0,0,0,0
1465.3151569366455,Mount,342,E,0,,-4715,0,0,0,0,0
1465.6589589118958,Mount,342,E,0,,-4373,0,0,0,0,0
1466.0028409957886,Mount,342,E,0,,-4031,0,0,0,0,0
1466.3466560840607,Mount,342,E,0,,-3689,0,0,0,0,0
1466.6903250217438,Mount,342,E,0,,-3347,0,0,0,0,0
1467.0343799591064,Mount,342,E,0,,-3005,0,0,0,0,0
1467.3780391216278,Mount,342,E,0,,-2663,0,0,0,0,0
1467.7215399742126,Mount,342,E,0,,-2321,0,0,0,0,0
1468.0650579929352,Mount,342,E,0,,-1979,0,0,0,0,0
1468.408576965332,Mount,342,E,0,,-1637,0,0,0,0,0
1468.752429008484,Mount,342,E,0,,-1295,0,0,0,0,0
1469.0963559150696,Mount,342,E,0,,-953,0,0,0,0,0
1469.440276145935,Mount,342,E,0,,-611,0,0,0,0,0
1469.784775018692,Mount,342,E,0,,-269,0,0,0,0,0
1470.134514093399,Mount,269,E,0,,0,0,0,0,0,0
